('Workshops', 'main_category_Dance', 'USD', 'US', 1891, 60, 2011, 7) ('duration', 60)
('Performances', 'main_category_Dance', 'USD', 'US', 54960, 60, 2009, 12) ('duration', 60)
('Performances', 'main_category_Dance', 'USD', 'US', 54960, 70, 2009, 12) ('duration', 70)
('Art', 'main_category_Art', 'USD', 'US', 54960, 70, 2009, 12) ('main_category', 'main_category_Art')
('Art', 'main_category_Art', 'USD', 'US', 54960, 40, 2009, 12) ('duration', 40)
('Civic Design', 'main_category_Design', 'USD', 'US', 54960, 40, 2009, 12) ('main_category', 'main_category_Design')
('Civic Design', 'main_category_Design', 'USD', 'US', 54960, 40, 2009, 10) ('month_launched', 10)
('Civic Design', 'main_category_Design', 'USD', 'US', 54960, 40, 2009, 10) ('category', 'Civic Design')
('Civic Design', 'main_category_Design', 'USD', 'US', 18615, 40, 2009, 10) ('goal_level', 18615)
('Spaces', 'main_category_Theater', 'USD', 'US', 18615, 40, 2009, 10) ('main_category', 'main_category_Theater')
('Theater', 'main_category_Theater', 'USD', 'US', 18615, 40, 2009, 10) ('category', 'Theater')
('Plays', 'main_category_Theater', 'USD', 'US', 18615, 40, 2009, 10) ('main_category', 'main_category_Theater')
('Plays', 'main_category_Theater', 'USD', 'US', 18615, 40, 2009, 10) ('month_launched', 10)
('Plays', 'main_category_Theater', 'USD', 'US', 18615, 40, 2009, 10) ('duration', 40)
('Plays', 'main_category_Theater', 'USD', 'US', 18615, 40, 2009, 10) ('year_launched', 2009)
('Plays', 'main_category_Theater', 'USD', 'US', 18615, 20, 2009, 10) ('duration', 20)
('Comedy', 'main_category_Theater', 'USD', 'US', 18615, 20, 2009, 10) ('category', 'Comedy')
('Comedy', 'main_category_Theater', 'USD', 'US', 18615, 20, 2009, 10) ('year_launched', 2009)
('Comedy', 'main_category_Theater', 'USD', 'US', 208, 20, 2009, 10) ('goal_level', 208)
('Comedy', 'main_category_Theater', 'USD', 'US', 208, 20, 2011, 10) ('year_launched', 2011)
('Theater', 'main_category_Theater', 'USD', 'US', 208, 20, 2011, 10) ('category', 'Theater')
('Jewelry', 'main_category_Fashion', 'USD', 'US', 208, 20, 2011, 10) ('main_category', 'main_category_Fashion')
('Hip-Hop', 'main_category_Music', 'USD', 'US', 208, 20, 2011, 10) ('main_category', 'main_category_Music')
('Hip-Hop', 'main_category_Music', 'USD', 'US', 208, 20, 2011, 10) ('country', 'US')
('Hip-Hop', 'main_category_Music', 'USD', 'US', 208, 20, 2011, 11) ('month_launched', 11)
('Blues', 'main_category_Music', 'USD', 'US', 208, 20, 2011, 11) ('category', 'Blues')
('Blues', 'main_category_Music', 'USD', 'US', 208, 20, 2011, 11) ('currency', 'USD')
('Blues', 'main_category_Music', 'USD', 'US', 208, 20, 2011, 8) ('month_launched', 8)
('Blues', 'main_category_Music', 'USD', 'US', 54960, 20, 2011, 8) ('goal_level', 54960)
('Blues', 'main_category_Music', 'USD', 'US', 54960, 20, 2011, 4) ('month_launched', 4)
('Blues', 'main_category_Music', 'USD', 'US', 5871, 20, 2011, 4) ('goal_level', 5871)
('Wearables', 'main_category_Technology', 'USD', 'US', 5871, 20, 2011, 4) ('main_category', 'main_category_Technology')
('Makerspaces', 'main_category_Technology', 'USD', 'US', 5871, 20, 2011, 4) ('category', 'Makerspaces')
('Makerspaces', 'main_category_Technology', 'USD', 'US', 5871, 90, 2011, 4) ('duration', 90)
('Makerspaces', 'main_category_Technology', 'USD', 'US', 5871, 90, 2011, 4) ('goal_level', 5871)
